"LKNTS_NM","DGNSS_ENGN_NM","OCCRRNC_LVSTCKCNT","LVSTCKSPC_NM","OCCRRNC_DE","FARM_LOCPLC"
"결핵병","남원지소",24,"소-젖소",2003-02-20,"전라북도 순창군 풍산면 죽전리"
"결핵병","경기도축산위생연구소",3,"소-육우",2003-04-19,"경기도 안산시 상록구 부곡동"
"가금티프스","축산진흥연구소",8500,"닭-육계",2003-01-16,"전라북도 김제시 금구면 월전리"
"결핵병","남원지소",1,"소-젖소",2003-03-06,"전라북도 순창군 적성면 운림리"
"결핵병","남원지소",26,"소-젖소",2003-05-15,"전라북도 순창군 풍산면 죽전리"
"결핵병","남원지소",1,"소-젖소",2003-05-21,"전라북도 순창군 적성면 운림리"
"가금티프스","정읍지소",2000,"닭-육계",2003-06-05,"전라북도 정읍시 이평면 장내리"
"뉴캣슬병","조류질병과",1800,"닭-육계",2003-02-15,"전라북도 남원시 주생면"
"가금티프스","축산진흥연구소",4000,"닭",2003-03-05,"전라북도 김제시 금구면 선암리"
"브루셀라병","전남 남부지소",18,"소-한우",2003-03-07,"전라남도 해남군 황산면 일신리"
"뉴캣슬병","남원지소",15000,"닭-육계",2003-04-21,"전라북도 순창군 팔덕면 산동리"
"가금티프스","경북 북부지소",3500,"닭-육계",2003-05-12,"경상북도 의성군 의성읍 용연리"
"브루셀라병","전남 남부지소",17,"소-한우",2003-04-10,"전라남도 해남군 황산면 일신리"
"결핵병","경북 가축위생시험소",4,"소-젖소",2003-02-06,"경상북도 구미시 고아읍 원호리"
"가금티프스","정읍지소",8000,"닭-육계",2003-03-03,"전라북도 정읍시 정우면 장순리"
"브루셀라병","전남 남부지소",15,"소-한우",2003-05-15,"전라남도 해남군 황산면 일신리"
"가금티프스","축산진흥연구소",3000,"닭",2003-03-06,"전라북도 정읍시 산외면 정량리"
"돼지열병","경북 북부지소",3,"돼지-육성돈",2003-03-27,"경상북도 영주시 안정면 단촌리"
"가금티프스","정읍지소",2000,"닭-육계",2003-03-27,"전라북도 정읍시 북면 승부리"
"브루셀라병","경북 북부지소",2,"소-젖소",2003-01-17,"경상북도 안동시 녹전면 사신리"
"브루셀라병","경북 북부지소",1,"소-젖소",2003-03-07,"경상북도 안동시 녹전면 사신리"
"가금티프스","정읍지소",4000,"닭-육계",2003-02-04,"전라북도 정읍시 태인면 증산리"
"결핵병","경북 서부지소",1,"소-육우",2003-02-13,"경상북도 김천시 남면 용전리"
"결핵병","경북 서부지소",1,"소-육우",2003-04-18,"경상북도 김천시 남면 용전리"
"결핵병","경북 서부지소",1,"소-육우",2003-03-03,"경상북도 문경시 마성면 정리"
"돼지열병","경북 서부지소",100,"돼지",2003-03-21,"경상북도 상주시 화개동"
"돼지열병","경북 서부지소",1,"돼지",2003-03-21,"경상북도 상주시 이안면 양범리"
"돼지열병","경북 서부지소",5,"돼지",2003-03-29,"경상북도 상주시 화개동"
"돼지열병","경북 서부지소",10,"돼지",2003-03-29,"경상북도 상주시 모서면 대포리"
"돼지열병","경북 서부지소",12,"돼지",2003-04-09,"경상북도 문경시 마성면 외어리"
"돼지열병","경북 서부지소",6,"돼지",2003-04-09,"경상북도 상주시 사벌면 엄암리"
"결핵병","경남 남부지소",6,"소-육우",2003-01-13,"경상남도 창원시 마산회원구 내서읍 감천리"
"브루셀라병","경북 서부지소",11,"소-한우",2003-02-03,"경상북도 문경시 산양면 진정리"
"결핵병","울산 보건환경연구원",1,"소-젖소",2003-06-12,"울산광역시 울주군 웅촌면 검단리"
"결핵병","경남 남부지소",7,"소-육우",2003-02-10,"경상남도 창원시 마산합포구 구산면 옥계리"
"돼지생식기호흡기증후군","경남 축산진흥연구소",14,"돼지",2003-03-06,"경상남도 산청군 신안면 문대리"
"결핵병","경남 남부지소",2,"소-육우",2003-02-10,"경상남도 마산시 구산면 옥계리"
"뉴캣슬병","경기 동부지소",11000,"닭",2003-01-04,"경기도 여주시 강천면 간매리"
"뉴캣슬병","충남 부여지소",4000,"닭-육계",2003-02-19,"충청남도 부여군 남면 송학리"
"가금티프스","경기 동부지소",1300,"닭",2003-02-06,"경기도 이천시 모가면 진가리"
"돼지열병","통합지소",100,"돼지",2003-03-21,"충청남도 당진군 신평면 상오리"
"뉴캣슬병","충남 부여지소",18000,"닭-육계",2003-02-19,"충청남도 서천군 비인면 성북리"
"돼지열병","통합지소",2,"돼지",2003-03-21,"충청남도 당진군 신평면 상오리"
"결핵병","충남 공주지소",3,"소-육우",2003-03-06,"충청남도 공주시 사곡면 신영리"
"가금티프스","충북 축산위생연구소",4000,"닭-육계",2003-01-10,"충청북도 진천군 문백면 문덕리"
"돼지열병","통합지소",1,"돼지",2003-03-22,"충청남도 당진군 신평면 상오리"
"추백리","경기 동부지소",700,"닭",2003-02-25,"경기도 용인시 처인구 원삼면 독성리"
"돼지열병","경기 동부지소",3,"돼지",2003-03-21,"경기도 이천시 장호원읍 장호원리"
"돼지열병","경기 동부지소",3,"돼지",2003-03-21,"경기도 여주시 가남읍 연대리"
"돼지열병","경기 동부지소",5,"돼지",2003-03-24,"경기도 여주시 대신면 후포리"
"돼지열병","경기 동부지소",3,"돼지",2003-03-22,"경기도 여주시 강천면 간매리"
"뉴캣슬병","전남 축산기술연구소",1500,"닭-육계",2003-01-06,"전라남도 여수시 화양면"
"가금티프스","전남 축산기술연구소",13000,"닭-육계",2003-01-13,"전라남도 나주시 봉황면 장성리"
"뉴캣슬병","전남 축산기술연구소",900,"닭-육계",2003-01-17,"전라남도 여수시 화양면 나진리"
"가금티프스","전남 축산기술연구소",119550,"닭-육계",2003-01-20,"전라남도 나주시 공산면 상방리"
"뉴캣슬병","전남 축산기술연구소",15000,"닭-육계",2003-01-22,"전라남도 강진군 칠량면 단월리"
"브루셀라병","전남 축산기술연구소",6,"소-한우",2003-01-27,"전라남도 해남군 황산면 일신리"
"가금티프스","충북 북부지소",250,"닭-육계",2003-01-10,"충청북도 괴산군 장연면"
"가금티프스","전남 축산기술연구소",34900,"닭-육계",2003-02-11,"전라남도 해남군 화산면 송산리"
"가금티프스","전남 축산기술연구소",48100,"닭-육계",2003-02-13,"전라남도 나주시 공산면 상방리"
"뉴캣슬병","전남 축산기술연구소",12500,"닭-육계",2003-02-25,"전라남도 담양군 창평면 장화리"
"결핵병","통합지소",1,"소-육우",2003-01-22,"충청남도 당진군 신평면 신흥리"
"가금티프스","충북 북부지소",11000,"닭-육계",2003-01-13,"충청북도 괴산군 괴산읍 신기리"
"돼지열병","경남 축산진흥연구소",5,"돼지",2003-03-27,"경상남도 함안군 칠북면 검단리"
"돼지열병","축산진흥연구소",200,"돼지",2003-04-14,"전라북도 익산시 왕궁면 구덕리"
"돼지생식기호흡기증후군","익산지소",15,"돼지-육성돈",2003-01-07,"전라북도 익산시 춘포면 창평리"
"돼지열병","축산진흥연구소",60,"돼지",2003-04-16,"전라북도 익산시 왕궁면 구덕리"
"가금티프스","익산지소",18000,"닭-육계",2003-03-03,"전라북도 익산시 여산면 여산리"
"돼지열병","축산진흥연구소",110,"돼지",2003-04-16,"전라북도 익산시 왕궁면 구덕리"
"브루셀라병","익산지소",33,"소-젖소",2003-03-11,"전라북도 군산시 회현면 고사리"
"돼지열병","축산진흥연구소",400,"돼지",2003-04-19,"전라북도 부안군 주산면 사산리"
"가금티프스","익산지소",3700,"닭-육계",2003-04-10,"전라북도 익산시 낭산면 삼담리"
"결핵병","충남 부여지소",17,"소-육우",2003-03-27,"충청남도 논산시 광석면 중리"
"브루셀라병","익산지소",11,"소-젖소",2003-04-22,"전라북도 군산시 회현면 고사리"
"브루셀라병","익산지소",2,"소-젖소",2003-04-22,"전라북도 군산시 나포면 나포리"
"돼지열병","축산진흥연구소",446,"돼지",2003-05-08,"전라북도 익산시 왕궁면 구덕리"
"가금티프스","익산지소",7000,"닭-육계",2003-04-25,"전라북도 익산시 망성면 장선리"
"결핵병","충남 부여지소",1,"소-육우",2003-03-13,"충청남도 부여군 옥산면 상기리"
"돼지열병","축산진흥연구소",163,"돼지",2003-05-08,"전라북도 익산시 왕궁면 구덕리"
"가금티프스","익산지소",4000,"닭-육계",2003-05-19,"전라북도 익산시 오산면 송학리"
"결핵병","충남 부여지소",1,"소-육우",2003-06-26,"충청남도 논산시 벌곡면 한삼천리"
"돼지열병","축산진흥연구소",100,"돼지",2003-05-08,"전라북도 익산시 왕궁면 온수리"
"가금티프스","익산지소",4000,"닭-육계",2003-05-23,"전라북도 익산시 함라면 다망리"
"브루셀라병","익산지소",8,"소-젖소",2003-05-31,"전라북도 군산시 회현면 고사리"
"가금티프스","익산지소",7000,"닭-육계",2003-05-28,"전라북도 익산시 성당면 와초리"
"뉴캣슬병","익산지소",18000,"닭-육계",2003-06-10,"전라북도 익산시 왕궁면 발산리"
"가금티프스","익산지소",24000,"닭-육계",2003-07-08,"전라북도 익산시 황등면 죽촌리"
"가금티프스","익산지소",13000,"닭-육계",2003-07-12,"전라북도 익산시 용안면 송산리"
"돼지열병","경남 중부지소",90,NA,2003-03-20,"경상남도 김해시 생림면 나전리"
"돼지열병","경남 중부지소",14,NA,2003-03-20,"경상남도 김해시 생림면 나전리"
"돼지열병","경남 중부지소",700,NA,2003-04-09,"경상남도 김해시 생림면 나전리"
"결핵병","축산진흥연구소",2,"소-육우",2003-06-05,"전라북도 김제시 황산면 용마리"
"결핵병","충남 아산지소",1,"소-육우",2003-02-20,"충청남도 아산시 둔포면 신남리"
"결핵병","충남 아산지소",1,"소-육우",2003-02-21,"충청남도 천안시 서북구 성환읍 어룡리"
"가금티프스","전남 축산기술연구소",26000,"닭-육계",2003-06-17,"전라남도 나주시 남평읍 상곡리"
"브루셀라병","충남 아산지소",20,"소-한우",2003-03-06,"충청남도 아산시 도고면 향산리"
"결핵병","경기 남부지소",3,"소",2003-01-10,"경기도 평택시 청북면 삼계리"
"결핵병","충남 아산지소",6,"소-육우",2003-03-14,"충청남도 아산시 둔포면 신남리"
"가금티프스","전남 축산기술연구소",5700,"닭-산란계",2003-06-23,"전라남도 함평군 월야면 영월리"
"결핵병","경기 남부지소",25,"소",2003-06-26,"경기도 평택시 청북면 삼계리"
"가금티프스","전남 축산기술연구소",41400,"닭-육계",2003-06-27,"전라남도 나주시 남평읍 교촌리"
"브루셀라병","강원 남부지소",1,"소-육우",2003-03-21,"경기도 화성시 북양동"
"뉴캣슬병","충남 아산지소",1200,"닭-육계",2003-03-06,"충청남도 아산시 배방읍 북수리"
"결핵병","동북부지소",1,"소-육우",2003-05-22,"경기도 남양주시 진건읍 배양리"
"브루셀라병","충남 아산지소",7,"소-한우",2003-04-12,"충청남도 아산시 도고면 향산리"
"돼지열병","경기 남부지소",5,"돼지",2003-03-24,"경기도 평택시 오성면 양교리"
"가금티프스","전남 축산기술연구소",20000,"닭-육계",2003-06-30,"전라남도 나주시 봉황면 죽석리"
"결핵병","서부지소",2,"소-육우",2003-02-28,"경기도 고양시 일산동구 설문동"
"가금티프스","충남 가축위생연구소",3000,"닭-육계",2003-04-30,"충청남도 보령시 청라면 나원리"
"돼지열병","경기 남부지소",3,"돼지",2003-03-21,"경기도 평택시 안중읍 학현리"
"결핵병","충남 아산지소",1,"소-육우",2003-04-17,"충청남도 천안시 동남구 동면 죽계리"
"결핵병","서부지소",2,"소-육우",2003-03-06,"경기도 파주시 조리읍 등원리"
"결핵병","서부지소",1,"소-육우",2003-03-06,"경기도 파주시 조리읍 등원리"
"결핵병","충남 아산지소",2,"소-육우",2003-04-24,"충청남도 아산시 둔포면 석곡리"
"결핵병","서부지소",1,"소-육우",2003-03-06,"경기도 파주시 조리읍 등원리"
"결핵병","충남 가축위생연구소",4,"소-육우",2003-02-05,"충청남도 예산군 삽교읍 삽교리"
"결핵병","충남 아산지소",1,"소-육우",2003-04-25,"충청남도 천안시 성남면 화성리"
"브루셀라병","경기도축산위생연구소",3,"소-육우",2003-02-20,"경기도 화성시 정남면 오일리"
"브루셀라병","경기도축산위생연구소",1,"소-육우",2003-04-18,"경기도 화성시 정남면 오일리"
"결핵병","서부지소",5,"소-육우",2003-03-13,"경기도 파주시 조리읍 등원리"
"결핵병","충남 아산지소",3,"소-육우",2003-04-25,"충청남도 천안시 성남면 용원리"
"결핵병","서부지소",1,"소-육우",2003-04-25,"경기도 파주시 문산읍 마정리"
"가금티프스","전남 축산기술연구소",25000,"닭-육계",2003-06-30,"전라남도 함평군 나산면 삼축리"
"결핵병","충남 아산지소",1,"소-육우",2003-05-01,"충청남도 천안시 목천읍 응원리"
"가금티프스","동북부지소",10000,"닭-육계",2003-03-21,"경기도 양평군 청운면 용두리"
"브루셀라병","경기도축산위생연구소",6,"소-육우",2003-03-15,"경기도 안산시 상록구 부곡동"
"결핵병","충남 아산지소",1,"소-육우",2003-05-09,"충청남도 천안시 동남구 청당동"
"결핵병","충남 아산지소",18,"소-육우",2003-05-10,"충청남도 천안시 서북구 업성동"
"브루셀라병","경기도축산위생연구소",18,"소-육우",2003-05-15,"경기도 안산시 상록구 부곡동"
"결핵병","충남 아산지소",1,"소-육우",2003-05-16,"충청남도 아산시 배미동"
"브루셀라병","경기도축산위생연구소",1,"소-육우",2003-06-13,"경기도 화성시 정남면 오일리"
"결핵병","충남 아산지소",1,"소-육우",2003-05-16,"충청남도 아산시 신창면 신달리"
"결핵병","충남 아산지소",1,"소-육우",2003-05-16,"충청남도 아산시 신창면 창암리"
"결핵병","충남 아산지소",1,"소-육우",2003-05-22,"충청남도 아산시 신창면 황산리"
"결핵병","충남 아산지소",2,"소-육우",2003-05-22,"충청남도 아산시 신창면 창암리"
"결핵병","충남 아산지소",5,"소-육우",2003-05-23,"충청남도 아산시 신창면 오목리"
"뉴캣슬병","조류질병과",1800,"닭-육계",2003-02-15,"전라북도 남원시 주생면"
"뉴캣슬병","조류질병과",16400,"닭-육계",2003-02-20,"충청남도 당진군 합덕읍"
"뉴캣슬병","조류질병과",16000,"닭-산란계",2003-03-04,"경기도 동두천시 상패동"
"뉴캣슬병","조류질병과",11000,"닭-육계",2003-06-18,"경상남도 거제시 사등면 오량리"
"결핵병","전남 축산기술연구소",1,"소-젖소",2003-03-14,"전라남도 나주시 봉황면 황용리"
"결핵병","전남 축산기술연구소",3,"소-젖소",2003-03-22,"전라남도 나주시 세지면 죽동리"
"결핵병","전남 축산기술연구소",1,"소-젖소",2003-04-03,"전라남도 나주시 왕곡면 덕산리"
"결핵병","전남 축산기술연구소",1,"소-젖소",2003-04-12,"전라남도 나주시 왕곡면 본양리"
"결핵병","전남 축산기술연구소",4,"소-젖소",2003-04-17,"전라남도 나주시 공산면 상방리"
"결핵병","전남 축산기술연구소",1,"소-젖소",2003-04-18,"전라남도 나주시 공산면 금곡리"
"결핵병","전남 축산기술연구소",4,"소-젖소",2003-05-01,"전라남도 나주시 왕곡면 본양리"
"결핵병","전남 축산기술연구소",1,"소-젖소",2003-05-09,"전라남도 나주시 오량동"
"결핵병","전남 축산기술연구소",3,"소-젖소",2003-05-12,"전라남도 나주시 왕곡면 본양리"
"결핵병","전남 축산기술연구소",1,"소-젖소",2003-05-16,"전라남도 나주시 문평면 옥당리"
"결핵병","전남 축산기술연구소",1,"소-젖소",2003-05-23,"전라남도 나주시 반남면 대안리"
"결핵병","전남 축산기술연구소",1,"소-젖소",2003-06-26,"전라남도 영광군 법성면 진내리"
"결핵병","전남 축산기술연구소",2,"소-젖소",2003-06-26,"전라남도 영광군 영광읍 단주리"
